Team,Ext,b,lb,w,nb,Opposition
Netherlands,33,0,1,26,1,Sri Lanka
Netherlands,32,0,10,21,1,South Africa
New Zealand,29,4,5,19,1,India
Pakistan,26,0,0,25,1,Sri Lanka
New Zealand,26,0,4,22,0,Australia
New Zealand,26,0,8,17,1,Pakistan
India,26,0,2,22,2,South Africa
Australia,25,1,10,14,0,Pakistan
Sri Lanka,24,13,0,11,0,Netherlands
Bangladesh,24,0,10,12,2,Australia
Bangladesh,23,0,13,10,0,Sri Lanka
South Africa,23,0,1,21,1,Sri Lanka
South Africa,21,1,5,15,0,Pakistan
England,21,0,0,20,1,Netherlands
Sri Lanka,20,0,5,14,1,South Africa
India,20,5,6,8,1,Sri Lanka
Pakistan,19,1,7,11,0,Australia
Pakistan,19,4,0,11,4,South Africa
England,19,5,2,12,0,Pakistan
Australia,18,5,2,11,0,India
Australia,17,0,4,11,2,South Africa
Bangladesh,17,0,2,13,2,South Africa
Australia,17,0,3,12,2,South Africa
Pakistan,17,0,4,12,1,Afghanistan
Netherlands,16,0,2,14,0,Afghanistan
Afghanistan,16,0,5,10,1,Australia
England,15,0,9,5,1,South Africa
India,15,1,4,10,0,Afghanistan
Australia,15,4,1,10,0,Afghanistan
Afghanistan,15,0,1,11,3,England
Afghanistan,15,2,3,8,2,India
South Africa,15,2,3,9,1,England
New Zealand,15,3,5,7,0,India
Afghanistan,15,4,1,10,0,South Africa
India,15,0,1,13,1,Netherlands
England,14,0,6,8,0,Australia
Sri Lanka,14,2,2,9,1,Pakistan
England,13,0,4,8,1,Afghanistan
Sri Lanka,13,2,2,9,0,Australia
Netherlands,13,0,9,4,0,India
New Zealand,13,0,3,8,2,Netherlands
South Africa,13,4,2,7,0,Australia
Afghanistan,12,0,3,7,2,Netherlands
New Zealand,12,4,1,6,1,South Africa
Australia,12,0,6,6,0,India
Australia,12,0,0,11,1,Netherlands
Netherlands,12,4,1,7,0,Bangladesh
South Africa,12,0,4,8,0,New Zealand
India,12,0,3,9,0,Australia
New Zealand,11,0,1,10,0,Bangladesh
Sri Lanka,11,0,2,9,0,Afghanistan
South Africa,11,0,4,7,0,Australia
Sri Lanka,10,5,1,4,0,India
Afghanistan,10,0,1,9,0,Sri Lanka
Australia,10,0,6,4,0,England
New Zealand,10,0,4,5,1,Afghanistan
South Africa,10,0,3,7,0,Bangladesh
Netherlands,9,0,0,9,0,Pakistan
Bangladesh,9,0,4,5,0,Pakistan
South Africa,9,0,3,6,0,Afghanistan
Pakistan,9,0,0,8,1,Netherlands
Afghanistan,9,0,0,8,1,Pakistan
Australia,9,1,0,6,2,New Zealand
Bangladesh,9,0,1,4,4,New Zealand
Bangladesh,8,0,3,4,1,Afghanistan
England,8,0,2,6,0,India
New Zealand,8,4,1,3,0,England
Afghanistan,8,0,0,8,0,Bangladesh
Netherlands,8,0,4,4,0,England
India,8,1,1,5,1,Australia
South Africa,8,0,2,5,1,Netherlands
India,8,1,1,6,0,New Zealand
Netherlands,7,0,0,7,0,Australia
England,7,0,3,4,0,Sri Lanka
Bangladesh,7,0,4,3,0,England
Sri Lanka,7,0,3,4,0,Bangladesh
England,7,1,2,4,0,Bangladesh
India,7,4,0,3,0,England
Bangladesh,6,0,0,6,0,Netherlands
Pakistan,6,0,1,5,0,England
England,6,0,0,6,0,New Zealand
Bangladesh,6,0,1,5,0,India
Afghanistan,5,0,0,5,0,New Zealand
India,5,0,1,4,0,New Zealand
Pakistan,4,0,1,3,0,New Zealand
Pakistan,4,0,2,2,0,Bangladesh
India,4,0,0,2,2,Bangladesh
Pakistan,4,1,2,1,0,India
Australia,4,0,0,4,0,Bangladesh
Netherlands,4,0,1,2,1,New Zealand
Sri Lanka,4,0,1,3,0,New Zealand
Sri Lanka,3,0,0,3,0,England
Australia,3,0,0,3,0,Sri Lanka
New Zealand,2,0,0,2,0,Sri Lanka
South Africa,2,0,0,2,0,India
India,2,0,1,1,0,Pakistan
